Title 品名,URL 網頁,objectID,image_code,image_id,image_url
畫王建宮詞圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13966&Dept=P,13966,1153058783,882783,https://digitalarchive.npm.gov.tw/Image/Download?imageId=882783&dept=P&cid=13966&code=1153058783
秋浦歸漁圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13960&Dept=P,13960,575162837,882713,https://digitalarchive.npm.gov.tw/Image/Download?imageId=882713&dept=P&cid=13960&code=575162837
板橋踏雪圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13961&Dept=P,13961,931894956,928391,https://digitalarchive.npm.gov.tw/Image/Download?imageId=928391&dept=P&cid=13961&code=931894956
畫秋江漁隱,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13962&Dept=P,13962,708832311,882721,https://digitalarchive.npm.gov.tw/Image/Download?imageId=882721&dept=P&cid=13962&code=708832311
華燈侍宴圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1357&Dept=P,1357,1240385023,629639,https://digitalarchive.npm.gov.tw/Image/Download?imageId=629639&dept=P&cid=1357&code=1240385023
溪山行旅圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1481&Dept=P,1481,1324249853,882742,https://digitalarchive.npm.gov.tw/Image/Download?imageId=882742&dept=P&cid=1481&code=1324249853
補衲圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=939&Dept=P,939,327197870,882670,https://digitalarchive.npm.gov.tw/Image/Download?imageId=882670&dept=P&cid=939&code=327197870
醉僧圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=14346&Dept=P,14346,739262974,882680,https://digitalarchive.npm.gov.tw/Image/Download?imageId=882680&dept=P&cid=14346&code=739262974
圍爐博古圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1356&Dept=P,1356,441325250,547410,https://digitalarchive.npm.gov.tw/Image/Download?imageId=547410&dept=P&cid=1356&code=441325250
蓬壺仙侶圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=14347&Dept=P,14347,1256465707,669436,https://digitalarchive.npm.gov.tw/Image/Download?imageId=669436&dept=P&cid=14347&code=1256465707
絲綸圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=14349&Dept=P,14349,328928575,669448,https://digitalarchive.npm.gov.tw/Image/Download?imageId=669448&dept=P&cid=14349&code=328928575
畫羅漢,https://digitalarchive.npm.gov.tw/Painting/Content?pid=72&Dept=P,72,23725262859,547417,https://digitalarchive.npm.gov.tw/Image/Download?imageId=547417&dept=P&cid=72&code=23725262859
畫盧仝烹茶圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1334&Dept=P,1334,1677352449,882823,https://digitalarchive.npm.gov.tw/Image/Download?imageId=882823&dept=P&cid=1334&code=1677352449
畫荔枝,https://digitalarchive.npm.gov.tw/Painting/Content?pid=14803&Dept=P,14803,1438377233,882830,https://digitalarchive.npm.gov.tw/Image/Download?imageId=882830&dept=P&cid=14803&code=1438377233
秋瓜圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1232&Dept=P,1232,1659541060,882836,https://digitalarchive.npm.gov.tw/Image/Download?imageId=882836&dept=P&cid=1232&code=1659541060
三蔬圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13970&Dept=P,13970,2123309626,629652,https://digitalarchive.npm.gov.tw/Image/Download?imageId=629652&dept=P&cid=13970&code=2123309626
春山瑞松,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1245&Dept=P,1245,1352781698,882842,https://digitalarchive.npm.gov.tw/Image/Download?imageId=882842&dept=P&cid=1245&code=1352781698
華燈侍宴圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1445&Dept=P,1445,59935296817,547537,https://digitalarchive.npm.gov.tw/Image/Download?imageId=547537&dept=P&cid=1445&code=59935296817
窠木竹石,https://digitalarchive.npm.gov.tw/Painting/Content?pid=477&Dept=P,477,90676414339,598189,https://digitalarchive.npm.gov.tw/Image/Download?imageId=598189&dept=P&cid=477&code=90676414339
臨黃筌蓮塘圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=994&Dept=P,994,1509790902,613283,https://digitalarchive.npm.gov.tw/Image/Download?imageId=613283&dept=P&cid=994&code=1509790902
吹簫士女圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=478&Dept=P,478,320106937,920974,https://digitalarchive.npm.gov.tw/Image/Download?imageId=920974&dept=P&cid=478&code=320106937
竹石,https://digitalarchive.npm.gov.tw/Painting/Content?pid=483&Dept=P,483,1795109352,655579,https://digitalarchive.npm.gov.tw/Image/Download?imageId=655579&dept=P&cid=483&code=1795109352
江山放艇圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=497&Dept=P,497,2139390310,655585,https://digitalarchive.npm.gov.tw/Image/Download?imageId=655585&dept=P&cid=497&code=2139390310
採菱圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=494&Dept=P,494,1779028668,920988,https://digitalarchive.npm.gov.tw/Image/Download?imageId=920988&dept=P&cid=494&code=1779028668
春郊遊騎圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=500&Dept=P,500,560812858,655596,https://digitalarchive.npm.gov.tw/Image/Download?imageId=655596&dept=P&cid=500&code=560812858
駿馬圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=496&Dept=P,496,59227839625,547633,https://digitalarchive.npm.gov.tw/Image/Download?imageId=547633&dept=P&cid=496&code=59227839625
雨山圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=464&Dept=P,464,63152219,871002,https://digitalarchive.npm.gov.tw/Image/Download?imageId=871002&dept=P&cid=464&code=63152219
林巒烟雨圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=450&Dept=P,450,79232903,644577,https://digitalarchive.npm.gov.tw/Image/Download?imageId=644577&dept=P&cid=450&code=79232903
雲橫秀嶺,https://digitalarchive.npm.gov.tw/Painting/Content?pid=465&Dept=P,465,1218944111,635078,https://digitalarchive.npm.gov.tw/Image/Download?imageId=635078&dept=P&cid=465&code=1218944111
畫春山晴雨,https://digitalarchive.npm.gov.tw/Painting/Content?pid=443&Dept=P,443,526920785,871009,https://digitalarchive.npm.gov.tw/Image/Download?imageId=871009&dept=P&cid=443&code=526920785
雲巒飛瀑圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=880&Dept=P,880,72141970,644584,https://digitalarchive.npm.gov.tw/Image/Download?imageId=644584&dept=P&cid=880&code=72141970
四季平安圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=442&Dept=P,442,418153633,921030,https://digitalarchive.npm.gov.tw/Image/Download?imageId=921030&dept=P&cid=442&code=418153633
喬松竹石,https://digitalarchive.npm.gov.tw/Painting/Content?pid=503&Dept=P,503,717822062,921035,https://digitalarchive.npm.gov.tw/Image/Download?imageId=921035&dept=P&cid=503&code=717822062
溪鳧圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=485&Dept=P,485,33686535427,547653,https://digitalarchive.npm.gov.tw/Image/Download?imageId=547653&dept=P&cid=485&code=33686535427
積雪圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=469&Dept=P,469,1818280969,921060,https://digitalarchive.npm.gov.tw/Image/Download?imageId=921060&dept=P&cid=469&code=1818280969
畫羅漢,https://digitalarchive.npm.gov.tw/Painting/Content?pid=893&Dept=P,893,1392033999,921071,https://digitalarchive.npm.gov.tw/Image/Download?imageId=921071&dept=P&cid=893&code=1392033999
嵩陽訪真圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1104&Dept=P,1104,733902746,921076,https://digitalarchive.npm.gov.tw/Image/Download?imageId=921076&dept=P&cid=1104&code=733902746
杏雨浴禽圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=684&Dept=P,684,1541784157,921086,https://digitalarchive.npm.gov.tw/Image/Download?imageId=921086&dept=P&cid=684&code=1541784157
谿亭山色圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=862&Dept=P,862,277225113,921094,https://digitalarchive.npm.gov.tw/Image/Download?imageId=921094&dept=P&cid=862&code=277225113
晚香高節,https://digitalarchive.npm.gov.tw/Painting/Content?pid=713&Dept=P,713,1245745251,871015,https://digitalarchive.npm.gov.tw/Image/Download?imageId=871015&dept=P&cid=713&code=1245745251
畫竹,https://digitalarchive.npm.gov.tw/Painting/Content?pid=716&Dept=P,716,184538645,644588,https://digitalarchive.npm.gov.tw/Image/Download?imageId=644588&dept=P&cid=716&code=184538645
烟嵐秋澗,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1256&Dept=P,1256,1392033999,655604,https://digitalarchive.npm.gov.tw/Image/Download?imageId=655604&dept=P&cid=1256&code=1392033999
林下鳴琴,https://digitalarchive.npm.gov.tw/Painting/Content?pid=504&Dept=P,504,938985889,871021,https://digitalarchive.npm.gov.tw/Image/Download?imageId=871021&dept=P&cid=504&code=938985889
畫古木飛泉,https://digitalarchive.npm.gov.tw/Painting/Content?pid=695&Dept=P,695,988958646,921112,https://digitalarchive.npm.gov.tw/Image/Download?imageId=921112&dept=P&cid=695&code=988958646
畫樹石,https://digitalarchive.npm.gov.tw/Painting/Content?pid=697&Dept=P,697,1504430674,664762,https://digitalarchive.npm.gov.tw/Image/Download?imageId=664762&dept=P&cid=697&code=1504430674
秋山行旅圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1153&Dept=P,1153,607156092,921120,https://digitalarchive.npm.gov.tw/Image/Download?imageId=921120&dept=P&cid=1153&code=607156092
松亭會友圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=526&Dept=P,526,740993679,668197,https://digitalarchive.npm.gov.tw/Image/Download?imageId=668197&dept=P&cid=526&code=740993679
桃竹春禽,https://digitalarchive.npm.gov.tw/Painting/Content?pid=525&Dept=P,525,883652904,890576,https://digitalarchive.npm.gov.tw/Image/Download?imageId=890576&dept=P&cid=525&code=883652904
倣郭熙秋山行旅,https://digitalarchive.npm.gov.tw/Painting/Content?pid=524&Dept=P,524,63923865075,598200,https://digitalarchive.npm.gov.tw/Image/Download?imageId=598200&dept=P&cid=524&code=63923865075
霜浦歸漁圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=518&Dept=P,518,26075754990,547692,https://digitalarchive.npm.gov.tw/Image/Download?imageId=547692&dept=P&cid=518&code=26075754990
寫高使君意,https://digitalarchive.npm.gov.tw/Painting/Content?pid=694&Dept=P,694,525190080,890586,https://digitalarchive.npm.gov.tw/Image/Download?imageId=890586&dept=P&cid=694&code=525190080
